,Date,Sales
0,2005-05-25 11:30:37.000,2.99
1,2005-05-28 10:35:23.000,0.99
2,2005-06-15 00:54:12.000,5.99
3,2005-06-15 18:02:53.000,0.99
4,2005-06-15 21:08:46.000,9.99
5,2005-06-16 15:18:57.000,4.99
6,2005-06-18 08:41:48.000,4.99
7,2005-06-18 13:33:59.000,0.99
8,2005-06-21 06:24:45.000,3.99
9,2005-07-08 03:17:05.000,5.99
10,2005-07-08 07:33:56.000,5.99
11,2005-07-09 13:24:07.000,4.99
12,2005-07-09 16:38:01.000,4.99
13,2005-07-11 10:13:46.000,7.99
14,2005-07-27 11:31:22.000,2.99
15,2005-07-28 09:04:45.000,4.99
16,2005-07-28 16:18:23.000,4.99
17,2005-07-28 17:33:39.000,0.99
18,2005-07-28 19:20:07.000,0.99
19,2005-07-29 03:58:49.000,2.99
20,2005-07-31 02:42:18.000,2.99
21,2005-08-01 08:51:04.000,4.99
22,2005-08-02 15:36:52.000,3.99
23,2005-08-02 18:01:38.000,0.99
24,2005-08-17 12:37:54.000,4.99
25,2005-08-18 03:57:29.000,0.99
26,2005-08-19 09:55:16.000,0.99
27,2005-08-19 13:56:54.000,2.99
28,2005-08-21 23:33:57.000,0.99
29,2005-08-22 01:27:57.000,1.99
30,2005-08-22 19:41:37.000,2.99
31,2005-08-22 20:03:46.000,5.99
32,2005-05-27 00:09:24.000,4.99
33,2005-06-17 20:54:58.000,2.99
34,2005-07-10 06:31:24.000,2.99
35,2005-07-10 12:38:56.000,6.99
36,2005-07-27 14:30:42.000,4.99
37,2005-07-27 15:23:02.000,5.99
38,2005-07-27 18:40:20.000,5.99
39,2005-07-29 00:12:59.000,5.99
40,2005-07-29 12:56:59.000,2.99
41,2005-07-29 17:14:29.000,5.99
42,2005-07-30 06:06:10.000,4.99
43,2005-07-30 13:47:43.000,10.99
44,2005-07-30 14:14:11.000,0.99
45,2005-07-30 16:21:13.000,6.99
46,2005-07-30 22:39:53.000,6.99
47,2005-07-31 21:58:56.000,2.99
48,2005-08-01 09:45:26.000,0.99
49,2005-08-02 02:10:56.000,0.99
50,2005-08-02 07:41:41.000,5.99
51,2005-08-02 10:43:48.000,6.99
52,2005-08-02 13:44:53.000,2.99
53,2005-08-17 03:52:18.000,2.99
54,2005-08-19 06:26:04.000,2.99
55,2005-08-21 13:24:32.000,4.99
56,2005-08-21 22:41:56.000,5.99
57,2005-08-22 13:53:04.000,4.99
58,2005-08-23 17:39:35.000,4.99
59,2005-05-27 17:17:09.000,1.99
60,2005-05-29 22:43:55.000,2.99
61,2005-06-16 01:34:05.000,8.99
62,2005-06-16 15:19:10.000,6.99
63,2005-06-17 05:15:15.000,6.99
64,2005-06-19 08:34:53.000,2.99
65,2005-07-07 10:23:25.000,4.99
66,2005-07-08 12:47:11.000,4.99
67,2005-07-27 04:54:42.000,5.99
68,2005-07-27 20:23:12.000,10.99
69,2005-07-28 03:59:21.000,7.99
70,2005-07-28 04:46:30.000,6.99
71,2005-07-28 11:46:45.000,4.99
72,2005-07-28 18:17:14.000,4.99
73,2005-07-29 11:07:04.000,2.99
74,2005-07-30 13:31:20.000,1.99
75,2005-07-30 21:45:46.000,3.99
76,2005-07-31 03:27:58.000,2.99
77,2005-07-31 11:32:58.000,4.99
78,2005-08-01 14:19:48.000,5.99
79,2005-08-18 14:49:55.000,4.99
80,2005-08-19 22:18:07.000,8.99
81,2005-08-20 06:14:12.000,2.99
82,2005-08-21 20:50:48.000,8.99
83,2005-08-22 09:37:27.000,0.99
84,2005-08-23 07:10:14.000,2.99
85,2005-06-15 09:31:28.000,4.99
86,2005-06-16 08:08:40.000,0.99
87,2005-06-16 14:01:27.000,2.99
88,2005-06-16 15:51:52.000,0.99
89,2005-06-17 14:31:12.000,0.99
90,2005-06-19 09:39:01.000,5.99
91,2005-07-28 02:10:10.000,2.99
92,2005-07-28 04:37:59.000,2.99
93,2005-07-29 18:44:57.000,3.99
94,2005-07-30 08:46:09.000,5.99
95,2005-07-30 18:58:00.000,5.99
96,2005-08-02 07:09:34.000,0.99
97,2005-08-02 08:20:31.000,2.99
98,2005-08-17 00:28:01.000,4.99
99,2005-08-18 00:14:03.000,2.99
100,2005-08-18 05:14:44.000,8.99
101,2005-08-19 02:19:13.000,1.99
102,2005-08-20 09:32:04.000,2.99
103,2005-08-20 12:55:40.000,6.99
104,2005-08-21 04:53:37.000,4.99
